iter	Passed	Remaining
0	156	155939
1	177	88373
2	199	66370
3	218	54498
4	224	44741
5	246	40757
6	256	36332
7	266	33084
8	281	30943
9	294	29121
10	310	27926
11	328	27078
12	341	25907
13	353	24896
14	366	24099
15	378	23307
16	392	22701
17	403	21994
18	421	21750
19	429	21043
20	442	20649
21	457	20335
22	470	19980
23	492	20011
24	506	19764
25	530	19857
26	543	19601
27	560	19460
28	572	19174
29	584	18910
30	592	18514
31	605	18325
32	621	18221
33	637	18110
34	644	17771
35	656	17579
36	671	17479
37	687	17411
38	705	17390
39	715	17169
40	729	17070
41	742	16937
42	753	16780
43	767	16669
44	782	16603
45	791	16411
46	803	16283
47	813	16130
48	833	16170
49	852	16199
50	861	16039
51	876	15984
52	892	15955
53	903	15822
54	908	15608
55	917	15471
56	928	15358
57	937	15219
58	943	15049
59	948	14867
60	962	14822
61	970	14680
62	978	14548
63	983	14383
64	991	14268
65	1001	14175
66	1008	14043
67	1017	13944
68	1024	13825
69	1033	13735
70	1039	13598
71	1046	13493
72	1056	13416
73	1066	13343
74	1075	13265
75	1085	13200
76	1094	13125
77	1104	13060
78	1114	12998
79	1125	12943
80	1135	12879
81	1145	12824
82	1150	12710
83	1156	12614
84	1166	12555
85	1178	12521
86	1186	12447
87	1195	12393
88	1203	12316
89	1209	12232
90	1220	12189
91	1231	12156
92	1251	12204
93	1259	12139
94	1266	12069
95	1277	12030
96	1288	11994
97	1293	11904
98	1307	11898
99	1311	11807
100	1322	11770
101	1333	11739
102	1344	11705
103	1353104	134104	1361105	135105	1373	11586
106	1391	11610
107	1407	11624
108	1426	11661
109	1437	11634
110	1448	11599
111	1463	11605
112	1473	11564
113	1485	11542
114	1499	11541
115	1506	11482
116	1512	11417
117	1522	11376
118	1534	11358
119	1547	11346
120	1556	11305
121	1562	11246
122	1572	11212
123	1583	11188
124	1594	11162
125	1606	11140
126	1617	11120
127	1622	11054
128	1633	11031
129	1648	11034
130	1661	11020
131	1674	11013
132	1684	10981
133	1692	10938
134	1705	10925
135	1719	10925
136	1733	10917
137	1744	10895
138	1756	10882
139	1768	10865
140	1778	10837
141	1789	10815
142	1811	10853
143	1823	10840
144	1833	10809
145	1844	10789
146	1863	10815
147	1877	10806
148	1888	10784
149	1901	10777
150	1909	10738
151	1917	10699
152	1927	10672
153	1943	10674
154	1954	10655
155	1962	10617
156	1971	10587
157	1976	10534
158	1992	10539
159	2000	10501
160	2013	10493
161	2024	10474
162	2034	10447
163	2047	10434
164	2064	10445
165	2079	10446
166	2087	10411
167	2102	10414
168	2112	10388
169	2118	10345
170	2126	10309
171	2138	10293
172	2147	10265
173	2163	10270
174	2176	10260
175	2184	10229
176	2194	10206
177	2202	10170
178	2218	10176
179	2245	10228
180	2253	10196
181	2267	10193
182	2284	10199
183	2296	10182
184	2306	10160
185	2319	10149
186	2337	10160
187	2348	10142
188	2352	10096
189	2364	10081
190	2376	10067
191	2390	10059
192	2394	10014
193	2406	9997
194	2415	9970
195	2427	9958
196	2437	9935
197	2457	9955
198	2479	9980
199	2489	9958
200	2510	9980
201	2517	9945
202	2525	9914
203	2542	9920
204	2557	9919
205	2564	9886
206	2573	9857
207	2594	9878
208	2601	9845
209	2612	9826
210	2619	9796
211	2629	9772
212	2639	9754
213	2654	9750
214	2668	9744
215	2681	9733
216	2687	9698
217	2697	9675
218	2706	9653
219	2724	9658
220	2734	9637
221	2740	9604
222	2749	9581
223	2758	9556
224	2776	9561
225	2789	9553
226	2807	9561
227	2819	9546
228	2835	9547
229	2846	9530
230	2866	9541
231	2877	9526
232	2889	9510
233	2896	9480
234	2904	9455
235	2925	9470
236	2935	9451
237	2947	9438
238	2959	9423
239	2970	9407
240	2983	9397
241	3004	9411
242	3017	9399
243	3027	9380
244	3040	9369
245	3059	9376
246	3072	9366
247	3092	9377
248	3107	9371
249	3114	9344
